id_hash,listing_desc
42169acb-7250-41eb-b2eb-8a182f8f06b1,"Spacious, open single wide modular with bump . Owner has maintained and improved systems with Benjamin Franklin inspection contract every 6 months and TelePest preventative treatments 1/ month. No pest problems. Contract is contingent on seller finding suitable housing and is currently under contract.HOME MUST BE MOVED OUT OF PARK. PRICE HAS BEEN REDUCED TO HELP WITH MOVING EXPENSE.PERFECT FOR VACATION HOME OR HUNTING CABIN"
a045542c-f85c-4293-b5d5-e65df048f9d6,"A BEAUTIFUL RURAL SETTING lies this perfect ranch home overlooking farmers fields! A great location convenient to quaint Elizabethtown. This home has been tastefully updated and renovated as well as being meticulously cared for. It is much larger than it appears from the street due to a sunroom addition and a almost completely finished walk out lower level...(there is a utility area and storage area, which is unfinished). Primary/owners bedroom features a full bath. This sale includes an oversized shed, perfect for a man cave, workshop, additional storage or a place to house your bikes (motorized or pedal), kayaks, etc.The kids/animals will have lots of room to run on this almost half acre lot!Call today to see this home, as it wont be on the market long!"
012d424a-1483-4701-b0fb-6c01b3cf1a4d,"Absolutely adorable Cape Cod Style home with a laundry list of amenities including All new windows/ Lovely separate tiled Study or Workout room/ Multiple ceiling fans keep this home nice & cool/ Great Cooks Kitchen with tile floors, built in desk, All appliances included/Pretty Living Room with Hardwood floors, Ceiling Fan, & cozy fireplace/Convenient Lower level laundry with Washer & Dryer included/Wonderful Main Bedroom with private bath with skylights, exposed wood beams, large ceiling fan , dressing room & private balcony access/Bonus room with wood flooring & vaulted ceiling has many uses/Huge rear deck. This one is so cute!"
c1604aef-5b2a-4cf3-b3e0-bf5b78c080b3,"Amazing curb appeal in Victorias Pond development! This 4 bedroom, 2.5 bath home has so many upgrades. As soon as you walk through the front door there is a grand stair case and open foyer. Beautiful hardwood flooring flows into the living room and formal dining room with crown molding and chair rail. The sunken family room is the show stopper in the home with gas fireplace, 2 story ceiling, windows and french doors from floor to ceiling that flood the room with natural light, and access to the decks. The kitchen and huge breakfast area also feature hardwood floors, doors to the covered deck, loads of cabinet space in the kitchen that includes a breakfast bar, large pantry, and built in desk. This space has an open railing and dramatic views into the family room. The first floor is rounded out with a laundry room and powder room. The second floor bedrooms are all spacious and feature ceiling fans in each room. The master suite is truly a getaway for the owners with over-sized walk in closet and bath with double sinks, corner whirlpool tub, and separate shower. Although you may already want to make this home yours, it has even more to offer! The finished lower level features an exercise room that would also make a great office space, a den that is the man cave you have always wanted and a separate sunken game room that is currently being used as a pool room (pool table is negotiable). Doors lead directly out back to the hot tub that is only a year old and the perfect place to unwind after a long day! If you are looking for a place to enjoy the outdoors with your family and friends, look no further than your backyard. Multiple decks, including a covered deck off the the kitchen offer space to grill and get together. The half acre lot is bordered by a small creek and has room to run and play. With a convenient location, tons of storage, and so much to offer, this may just be the home you have always dreamed about!"
6ebc77b7-cd50-48db-89e5-b9792fe9609a,"A 40 foot shipping container converted into a unique tiny home on wheels. The home boasts historic barn wood and other unique architectural accents. You can relax in the first floor bedroom or off the private back deck. The home also has a full fridge, stove and microwave as well as a full bath and washer dryer combo unit. This sale is for a tiny house only; no land is conveyed. ** Please do not enter or explore Tiny Estates without an appointment.**"
9b33cd99-d22c-4e9e-9d6c-61c74ecdbfe5,"Spacious 1,568 sq ft - 3 bed, 2 bath, plus a den or 4th bedroom possible bonus space. Two dining areas. 2004 REDMAN 28x56 in Oak Knoll Estates, ready for quick occupancy! Dont delay. All appliances included. All ages/pet friendly community. $428/mo lot rent includes water/sewer. Easy commute to Lancaster/Hershey/Dauphin/turnpike/airport. see 42 pics. Renent upgrades include new roof and spouting, new plumbing in half bath, New AC unit, new oil tank installed, new refrig, 2 new toilets, new fuel pump in the furnace, shed roof was replaced, both decks are TREX, electric in the shed."
b94040c8-acf6-4c2b-9941-d9c981af7f1f,"Welcome Home to this wonderful duplex located in Elizabethtown Borough. Home has been freshly painted through out and new carpet was installed on the second floor and stairwell. First floor has gorgeous wood floors in the living room and dining room. Spacious kitchen has room for a seating area as well. There is a laundry/half bathroom off of the kitchen which features an exposed brick wall. The second floor features three bedrooms, a full bathroom and a walk up attic with plenty of room for storage. Home also offers central air and natural gas heat. Off the kitchen you will find a mud room leading to the fenced in back yard and patio area. The inviting front porch is roomy enough for some comfortable chairs to enjoy the early morning sunrise or evening sunsets. Schedule your showing today to see what this home has to offer!"
ff4c6039-a729-4a1f-b8de-30467b09371e,"First floor living in desirable Shaeffer Ridge community. Welcoming two story foyer with hardwood floors flows naturally to an open layout. Cathedral ceilings in the main floor creates a spacious feel with so much natural light Just around the corner is the sizable master suite with a walk in closet and bathroom with a double bowl vanity. It is a true one floor living with the laundry room on the first floor as well. Upstairs you will find 2 additional bedrooms and a full bath. Lower level has 9 ft ceilings and is so huge, it could be great for storage and completed for a family room. Take a moment and relax on your deck with your favorite book or a cup of coffee. Make it your own, its move in ready!"
18bcfcb6-81cc-4373-b3a3-e002018891cb,"Located conveniently to E-town College, this home has beautifully updated kitchen with granite counters and stainless steel appliances. A newly remodeled bathroom, all new flooring on first floor are just a few reasons to make this your next home. New hot water heater in 2018, dual-zone HVAC system installed 2013. If that isnt enough, there is plenty of space to entertain family and friends on the a large covered porch off back of house and extra large patio in your own fenced in yard."
d1bbfe19-0285-4eaf-9617-39efe5dd83fe,"BACK ON THE MARKET!! Whole home was repainted after the tenants vacated , also new carpet!! Beautiful custom built home in Oak Ridge Manor! Oak Ridge is a private 7 home cul-de-sac. 4 hall entered bedrooms on the 2nd floor with beautiful master suite with fireplace!! 2nd floor laundry! one the main level to the custom kitchen with granite countertops and island. Open floor plan family room with fireplace. Formal dining room with wet bar. finished lower level with gym."
154ca5ae-c3fa-4f38-9c37-c6c901a9cdc1,"The current owners have made many updates throughout the property in the past few months. They even added a large addition to the home boasting a master bedroom! The rubber roof was recently recoated and the yard was fenced in. There is a new 40 gallon hot water heater and 2 year old furnace as well as new heat tape. The bathrooms have been updated, new kitchen countertops and flooring has been replaced as well. There are two large sheds outside with power, ac unit and heat!! Come and check out to see what this property has to offer. Furniture and air compressor is negotiable."
