,@type,@context,name,numberOfRooms,url,floorSize.@type,floorSize.@context,floorSize.value,address.@type,address.@context,address.streetAddress,address.addressLocality,address.addressRegion,address.postalCode,geo.@type,geo.@context,geo.latitude,geo.longitude,Type:,Year built:,Heating:,Cooling:,Parking:,HOA:,Price/sqft:,listing_desc,Lot:,Interior details,Bedrooms: ,Bathrooms: ,Full bathrooms: ,3/4 bathrooms: ,1/2 bathrooms: ,Utilities / Green Energy Details,Internet and tv: ,Sunscore: ,Sun Number™:,1/4 bathrooms: ,Construction details
0,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '842 S Mount Joy St, Elizabethtown, PA 17022'}",{0: 3},{0: '/homedetails/842-S-Mount-Joy-St-Elizabethtown-PA-17022/9708305_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '1,120'}",{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '842 S Mount Joy St'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.145638},{0: -76.593917},{0: 'Multi Family'},{0: '1984'},"{0: 'Baseboard, Heat pump'}",{0: 'Central'},{0: 'Off street'},{0: 'None'},{0: '$143'},"{0: ""Located conveniently to E-town College, this home has beautifully updated kitchen with granite counters and stainless steel appliances. A newly remodeled bathroom, all new flooring on first floor are just a few reasons to make this your next home. New hot water heater in 2018, dual-zone HVAC system installed 2013. If that isn't enough, there is plenty of space to entertain family and friends on the a large covered porch off back of house and extra large patio in your own fenced in yard.""}",,,,,,,,,,,,,
1,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '33 W Willow St, Elizabethtown, PA 17022'}",{0: 3},{0: '/homedetails/33-W-Willow-St-Elizabethtown-PA-17022/9707362_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '1,162'}",{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '33 W Willow St'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.154117},{0: -76.608838},{0: 'Multi Family'},{0: '1900'},{0: 'Forced air'},{0: 'Central'},{0: 'No Data'},{0: 'None'},{0: '$103'},"{0: 'Welcome Home to this wonderful duplex located in Elizabethtown Borough. Home has been freshly painted through out and new carpet was installed on the second floor and stairwell. First floor has gorgeous wood floors in the living room and dining room. Spacious kitchen has room for a seating area as well. There is a laundry/half bathroom off of the kitchen which features an exposed brick wall. The second floor features three bedrooms, a full bathroom and a walk up attic with plenty of room for storage. Home also offers central air and natural gas heat. Off the kitchen you will find a mud room leading to the fenced in back yard and patio area. The inviting front porch is roomy enough for some comfortable chairs to enjoy the early morning sunrise or evening sunsets. Schedule your showing today to see what this home has to offer!'}",,,,,,,,,,,,,
2,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '7882 Elizabethtown Rd, Elizabethtown, PA 17022'}",{0: 3},{0: '/homedetails/7882-Elizabethtown-Rd-Elizabethtown-PA-17022/9775228_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '2,004'}",{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '7882 Elizabethtown Rd'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.183078},{0: -76.527956},{0: 'Single Family'},{0: '1972'},{0: 'Forced air'},{0: 'Central'},{0: 'No Data'},{0: 'None'},{0: '$87'},"{0: ""A BEAUTIFUL RURAL SETTING lies this perfect ranch home overlooking farmers fields! A great location convenient to quaint Elizabethtown. This home has been tastefully updated and renovated as well as being meticulously cared for. It is much larger than it appears from the street due to a sunroom addition and a almost completely finished walk out lower level...(there is a utility area and storage area, which is unfinished). Primary/owners bedroom features a full bath. This sale includes an oversized shed, perfect for a man cave, workshop, additional storage or a place to house your bikes (motorized or pedal), kayaks, etc. The kids/animals will have lots of room to run on this almost half acre lot! Call today to see this home, as it won't be on the market long!""}",{0: '0.49 acres'},,,,,,,,,,,,
3,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: '31a Oak Knoll Dr, Elizabethtown, PA 17022'}",{0: 3},{0: '/homedetails/31A-Oak-Knoll-Dr-Elizabethtown-PA-17022/2078265812_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '1,568'}",{0: 'PostalAddress'},{0: 'http://schema.org'},{0: '31A Oak Knoll Dr'},{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.199897},{0: -76.605662},{0: 'Single Family'},{0: '2004'},{0: 'Forced air'},{0: 'Central'},{0: '2 spaces'},{0: '$428/month'},{0: '$29'},"{0: ""Spacious 1,568 sq ft - 3 bed, 2 bath, plus a den or 4th bedroom possible bonus space. Two dining areas. 2004 REDMAN 28x56 in Oak Knoll Estates, ready for quick occupancy! Don't delay. All appliances included. All ages/pet friendly community. $428/mo lot rent includes water/sewer. Easy commute to Lancaster/Hershey/Dauphin/turnpike/airport. see 42 pics. Renent upgrades include new roof and spouting, new plumbing in half bath, New AC unit, new oil tank installed, new refrig, 2 new toilets, new fuel pump in the furnace, shed roof was replaced, both decks are TREX, electric in the shed.""}",{0: 'No Data'},,,,,,,,,,,,
4,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Devonshire Manor Plan, Bishop Woods, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/bishop-woods/2085882631_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '4,145'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Devonshire Manor Plan, Bishop Woods'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.156046},{0: -76.659386},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$117'},"{0: ""The Devonshire is a 4+ bed, 2.5+ bath home featuring an open floorplan, 2 staircases, and many unique customization options. Inside the Foyer, there is a Living Room to one side and Dining Room to the other. In the main living area, the Family Room opens to the Kitchen with large eat-in island and Breakfast Area. The Kitchen also has a walk-in pantry and hall leading to the Study. Private Study near back stairs can be used as optional 5th bedroom. Upstairs, the spacious Owner's Suite has a 2 walk-in closets and a private full bath. 3 additional bedrooms with walk-in closets, a full bath, and Laundry Room complete the second floor. Oversized 2-car garage and unfinished basement included.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '4'},{0: '3'},{0: '0'},{0: '1'},,,,,,
5,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Hawthorne Farmhouse Plan, Bishop Woods, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/bishop-woods/2081656661_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,405'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Hawthorne Farmhouse Plan, Bishop Woods'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.156046},{0: -76.659386},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$133'},"{0: ""The Hawthorne is a 4 bed, 2.5 home featuring an open floorplan with 2-story Family Room, Breakfast Area, and Kitchen with island and walk-in pantry. The first floor also has a Dining Room, Living Room, and private Study. The Entry Area has a walk-in closet and leads to the 2-car Garage. Upstairs, the hallway overlooks the Family Room below. The Owner's Suite features 2 walk-in closets and a private full bath. 3 additional bedrooms with walk-in closets, a full bathroom, and Laundry Room complete the second floor. Unfinished Basement included.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
6,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Nottingham Vintage Plan, The Summit At Stonemill, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/summit-at-stonemill/2086089350_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,602'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Nottingham Vintage Plan, The Summit at Stonemill'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.109898},{0: -76.630493},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$119'},"{0: ""The Nottingham features a 2-story Family Room open to the eat-in Kitchen with walk-in pantry and Breakfast Area. The spacious Owner's Suite is located on the first floor, with 2 walk-in closets and full Bathroom. A Study, formal Dining Room, Powder Room, Laundry Room, and 2-car garage complete the first level. The hallway upstairs overlooks the Family Room below. An optional Bonus Room is located over the Owner's Suite. 3 additional Bedrooms with walk-in closets and a full Bath are on the second floor.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
7,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Addison Farmhouse Plan, Bishop Woods, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/bishop-woods/2080209050_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '2,627'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Addison Farmhouse Plan, Bishop Woods'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.156046},{0: -76.659386},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$160'},"{0: ""The Addison is a 4 bed, 2.5 bath home that features an open floorplan with Family Room and Kitchen with eat-in island, butler's pantry, walk-in pantry, and Breakfast Area. A formal Dining Room and Study offer additional living space on the first floor. Entry area off the Kitchen has Powder Room and access to the oversized 2-car Garage. Owner's Suite has a large walk-in closet and private bath. 3 additional bedrooms, full bath, and convenient Laundry Room complete the home. Unfinished Basement included.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
8,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Augusta Normandy Plan, The Summit At Stonemill, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/summit-at-stonemill/2086089359_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '2,787'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Augusta Normandy Plan, The Summit at Stonemill'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.109898},{0: -76.630493},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$147'},"{0: ""The Augusta features an open floorplan and first-floor Owner's Suite. An eat-in Kitchen and Breakfast Area are open to the Family Room. The Owner's Suite has a full bath and large walk-in closet. A Study and formal Dining Room are off the front Foyer. The Laundry Room leads to a 2-car Garage. A Loft Area, full bath, and 3 additional bedrooms with walk-in closets are located upstairs.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
9,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Devonshire Heritage Plan, The Summit At Stonemill, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/summit-at-stonemill/2085882581_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '4,145'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Devonshire Heritage Plan, The Summit at Stonemill'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.109898},{0: -76.630493},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: 'No Data'},,{0: '$110'},"{0: ""The Devonshire is a 4+ bed, 2.5+ bath home featuring an open floorplan, 2 staircases, and many unique customization options. Inside the Foyer, there is a Living Room to one side and Dining Room to the other. In the main living area, the Family Room opens to the Kitchen with large eat-in island and Breakfast Area. The Kitchen also has a walk-in pantry and hall leading to the Study. Private Study near back stairs can be used as optional 5th bedroom. Upstairs, the spacious Owner's Suite has a 2 walk-in closets and a private full bath. 3 additional bedrooms with walk-in closets, a full bath, and Laundry Room complete the second floor. Oversized 2-car garage and unfinished basement included.""}",{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '4'},{0: '3'},{0: '0'},{0: '1'},,,,,,
10,{0: 'SingleFamilyResidence'},{0: 'http://schema.org'},"{0: 'Brookfield Plan, Creekside Meadows, Elizabethtown, PA 17022'}",{0: 4},{0: '/community/creekside-meadows/2089065101_zpid/'},{0: 'QuantitativeValue'},{0: 'http://schema.org'},"{0: '3,111'}",{0: 'PostalAddress'},{0: 'http://schema.org'},"{0: 'Brookfield Plan, Creekside Meadows'}",{0: 'Elizabethtown'},{0: 'PA'},{0: '17022'},{0: 'GeoCoordinates'},{0: 'http://schema.org'},{0: 40.201221},{0: -76.643147},{0: 'Single Family'},{0: '2020'},{0: 'No Data'},{0: 'No Data'},{0: '2 spaces'},,{0: '$168'},{0: 'Our all-time best selling home plan.. Grand entry and convenient staircase accessing both foyer and kitchen. Sweeping kitchen design allows you to cook and admire the fireplace at the same time. Off of the kitchen is a mud room and laundry. First floor office/study well-located to the rear of home. (Pricing may reflect limited-time savings/incentives. See Community Sales Manager for details.)'},{0: 'No Data'},{0: 'Bedrooms and bathrooms'},{0: '4'},{0: '3'},{0: '2'},{0: '0'},{0: '1'},,,,,,
