,address,city,state,postal_code,price,facts and features,real estate provider,url,title
0,,Elizabethtown,PA,17022,,"3 bds, 2.0 ba ,1856 sqft",,https://www.zillow.com/homedetails/436-Mount-Gretna-Rd-Elizabethtown-PA-17022/9774626_zpid/,Pre-foreclosure / Auction
1,,Elizabethtown,PA,17022,,"2 bds, 1.0 ba ,1050 sqft",Auction.com,https://www.zillow.com/homedetails/700-S-Locust-St-Elizabethtown-PA-17022/9708246_zpid/,Auction
2,,Elizabethtown,PA,17022,,"3 bds, 2.0 ba ,1788 sqft",Auction.com,https://www.zillow.com/homedetails/724-S-Market-St-Elizabethtown-PA-17022/9708219_zpid/,Auction
3,,Elizabethtown,PA,17022,,"3 bds, 2.0 ba ,1560 sqft",,https://www.zillow.com/homedetails/1608-Turnpike-Rd-Elizabethtown-PA-17022/9696685_zpid/,Pre-foreclosure / Auction
4,,Elizabethtown,PA,17022,"$24,000 ","2 bds, 2.0 ba ,1124 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/76-Lakeview-Dr-Elizabethtown-PA-17022/2080108020_zpid/,Home for sale
5,,Elizabethtown,PA,17022,"$39,000 ","4 bds, 2.0 ba ,1132 sqft",Realty ONE Group Unlimited,https://www.zillow.com/homedetails/1-Charles-Ave-Elizabethtown-PA-17022/86434931_zpid/,House for sale
6,,Elizabethtown,PA,17022,"$40,000 ","None bds, None ba ,None sqft",RE/MAX Realty Select,https://www.zillow.com/homedetails/935-Thistle-Rd-Elizabethtown-PA-17022/151829849_zpid/,Lot / Land for sale
7,,Elizabethtown,PA,17022,"$45,000 ","3 bds, 2.0 ba ,1568 sqft","Howard Hanna - Lancaster, PA",https://www.zillow.com/homedetails/31A-Oak-Knoll-Dr-Elizabethtown-PA-17022/2078265812_zpid/,House for sale
8,,Elizabethtown,PA,17022,"$60,000 ","None bds, None ba ,None sqft",John Smith Real Estate Group,https://www.zillow.com/homedetails/6-Ridgeview-Rd-S-Elizabethtown-PA-17022/2080088926_zpid/,Lot / Land for sale
9,,Elizabethtown,PA,17022,"$68,900 ","3 bds, 2.0 ba ,906 sqft","ABC Home Realty, LLC",https://www.zillow.com/homedetails/59-Charles-Ave-Elizabethtown-PA-17022/2078894348_zpid/,New construction
10,,Elizabethtown,PA,17022,"$73,500 ","3 bds, 2.0 ba ,980 sqft","ABC Home Realty, LLC",https://www.zillow.com/homedetails/61-Charles-St-Elizabethtown-PA-17022/2078895105_zpid/,New construction
11,,Elizabethtown,PA,17022,"$75,900 ","3 bds, 2.0 ba ,1013 sqft","ABC Home Realty, LLC",https://www.zillow.com/homedetails/56-Charles-Ave-Elizabethtown-PA-17022/2078893152_zpid/,New construction
12,,Elizabethtown,PA,17022,"$78,700 ","None bds, None ba ,None sqft",Kingsway Realty,https://www.zillow.com/homedetails/0-Stonemill-Dr-Elizabethtown-PA-17022/2081386980_zpid/,Lot / Land for sale
13,,Elizabethtown,PA,17022,"$79,900 ","None bds, None ba ,None sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/0-Ridge-Rd-Elizabethtown-PA-17022/2084157221_zpid/,Lot / Land for sale
14,,Elizabethtown,PA,17022,"$84,900 ","None bds, None ba ,None sqft",Iron Valley Real Estate,https://www.zillow.com/homedetails/10-Evelyn-Dr-LOT-6-Elizabethtown-PA-17022/2078380176_zpid/,Lot / Land for sale
15,,Elizabethtown,PA,17022,"$89,900 ","1 bds, 1.0 ba ,200 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/867-Schwanger-Rd-Elizabethtown-PA-17022/245320454_zpid/,House for sale
16,,Elizabethtown,PA,17022,"$94,900 ","None bds, None ba ,None sqft",Iron Valley Real Estate,https://www.zillow.com/homedetails/16-Evelyn-Dr-Elizabethtown-PA-17022/2080832837_zpid/,Lot / Land for sale
17,,Elizabethtown,PA,17022,"$95,000 ","3 bds, 1.0 ba ,1260 sqft",John H. Walak Real Estate,https://www.zillow.com/homedetails/130-S-Poplar-St-Elizabethtown-PA-17022/9706505_zpid/,Apartment for sale
18,,Elizabethtown,PA,17022,"$109,900 ","None bds, None ba ,None sqft",RE/MAX Pinnacle,https://www.zillow.com/homedetails/927-Spring-Rd-Elizabethtown-PA-17022/104372380_zpid/,Lot / Land for sale
19,,Elizabethtown,PA,17022,"$119,900 ","3 bds, 2.0 ba ,1162 sqft",Life Changes Realty Group,https://www.zillow.com/homedetails/33-W-Willow-St-Elizabethtown-PA-17022/9707362_zpid/,Apartment for sale
20,,Elizabethtown,PA,17022,,"2 bds, 1.0 ba ,1080 sqft",,https://www.zillow.com/homedetails/3333-Roundtop-Rd-Elizabethtown-PA-17022/86435736_zpid/,Pre-foreclosure / Auction
