address,city,state,postal_code,price,facts and features,real estate provider,url,title
,Elizabethtown,PA,17022,"$24,000","2 bds, 2.0 ba ,1124 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/76-Lakeview-Dr-Elizabethtown-PA-17022/2080108020_zpid/,Home for sale
,Elizabethtown,PA,17022,"$175,000","3 bds, 2.0 ba ,2004 sqft",Howard Hanna - Paxtang,https://www.zillow.com/homedetails/7882-Elizabethtown-Rd-Elizabethtown-PA-17022/9775228_zpid/,House for sale
,Elizabethtown,PA,17022,"$269,900","3 bds, 3.0 ba ,2111 sqft",Keller Williams Elite,https://www.zillow.com/homedetails/456-E-Park-St-Elizabethtown-PA-17022/9708153_zpid/,House for sale
,Elizabethtown,PA,17022,"$350,000","4 bds, 3.0 ba ,3377 sqft",Blue Collar Realty,https://www.zillow.com/homedetails/15-Bullrush-Lndg-Elizabethtown-PA-17022/54223613_zpid/,House for sale
,Elizabethtown,PA,17022,"$89,900","1 bds, 1.0 ba ,200 sqft",Berkshire Hathaway HomeServices Homesale Realty,https://www.zillow.com/homedetails/867-Schwanger-Rd-Elizabethtown-PA-17022/245320454_zpid/,Home for sale
,Elizabethtown,PA,17022,"$45,000","3 bds, 2.0 ba ,1568 sqft","Howard Hanna - Lancaster, PA",https://www.zillow.com/homedetails/31A-Oak-Knoll-Dr-Elizabethtown-PA-17022/2078265812_zpid/,House for sale
,Elizabethtown,PA,17022,"$119,900","3 bds, 2.0 ba ,1162 sqft",Life Changes Realty Group,https://www.zillow.com/homedetails/33-W-Willow-St-Elizabethtown-PA-17022/9707362_zpid/,Apartment for sale
,Elizabethtown,PA,17022,"$224,900","3 bds, 3.0 ba ,1596 sqft",Coldwell Banker Residential Brokerage-Lancaster,https://www.zillow.com/homedetails/1513-Hickory-Run-Ct-Elizabethtown-PA-17022/54237786_zpid/,House for sale
,Elizabethtown,PA,17022,"$159,900","3 bds, 1.0 ba ,1120 sqft",Realty ONE Group Unlimited,https://www.zillow.com/homedetails/842-S-Mount-Joy-St-Elizabethtown-PA-17022/9708305_zpid/,Apartment for sale
,Elizabethtown,PA,17022,"$389,900","4 bds, 3.0 ba ,3683 sqft",Iron Valley Real Estate of Central PA,https://www.zillow.com/homedetails/5-Evelyn-Dr-Elizabethtown-PA-17022/151811159_zpid/,House for sale
,Elizabethtown,PA,17022,"$39,000","4 bds, 2.0 ba ,1132 sqft",Realty ONE Group Unlimited,https://www.zillow.com/homedetails/1-Charles-Ave-Elizabethtown-PA-17022/86434931_zpid/,Home for sale
,Elizabethtown,PA,17022,"$439,400","4 bds, 3.0 ba ,3580 sqft",Iron Valley Real Estate of Central PA,https://www.zillow.com/homedetails/2812-Chestnut-Rd-Elizabethtown-PA-17022/2078420440_zpid/,House for sale
,Elizabethtown,PA,17022,"$349,900","3 bds, 2.0 ba ,2294 sqft",RE/MAX 1st Advantage,https://www.zillow.com/homedetails/150-E-Willow-St-Elizabethtown-PA-17022/9707098_zpid/,House for sale
,Elizabethtown,PA,17022,"$255,000","None bds, None ba ,None sqft","Joy Daniels Real Estate Group, Ltd",https://www.zillow.com/homedetails/2455-Steinruck-Rd-L10-Elizabethtown-PA-17022/303859930_zpid/,Lot / Land for sale
,Elizabethtown,PA,17022,"$455,000","5 bds, 4.0 ba ,4800 sqft",RE/MAX Realty Select,https://www.zillow.com/homedetails/976-W-Ridge-Rd-Elizabethtown-PA-17022/54223728_zpid/,House for sale
,Rheems,PA,17570,"$229,900","3 bds, 3.0 ba ,2288 sqft","Howard Hanna - Lancaster, PA",https://www.zillow.com/homedetails/Ersa-Dr-LOT-1-Rheems-PA-17570/2084137084_zpid/,New construction
,Elizabethtown,PA,17022,"$75,900","3 bds, 2.0 ba ,1013 sqft","ABC Home Realty, LLC",https://www.zillow.com/homedetails/56-Charles-Ave-Elizabethtown-PA-17022/2078893152_zpid/,New construction
